*=====================================================================
* SHPSLT   SHOP SLOT CAPACITY FILE - EHMS REL 4.2
*          ONE CARD PER INDUCTION SLOT.  MAINTAINED BY THE SHOP
*          LOADING CLERK EVERY MONDAY BEFORE THE OVERNIGHT RUN.
*
*   COL 01-04  SLOT IDENTIFIER
*   COL 06-09  SHOP LOCATION, ICAO
*   COL 11-14  INDUCTION WEEK, FORM YYWW
*   COL 16-17  BAY CAPACITY IN ENGINES
*   COL 19-22  WORKSCOPE CAPABILITY
*              FULL  ANY WORKSCOPE
*              HEVY  FULL OVERHAUL
*              HOTS  HOT SECTION REFURBISHMENT
*              PERF  PERFORMANCE RESTORATION
*              LGHT  LIGHT VISIT
*=====================================================================
*SLT SHOP WEEK CP SCOP
S001 EGNX 2634  3 FULL
S002 EGNX 2636  3 FULL
S003 EGNX 2638  2 HEVY
S004 EGNX 2640  3 FULL
S005 EGNX 2644  2 HOTS
S006 EGNX 2648  3 FULL
S007 EGNX 2652  2 PERF
S008 WSSS 2635  2 HOTS
S009 WSSS 2639  2 PERF
S010 WSSS 2643  3 FULL
S011 WSSS 2647  2 HOTS
S012 WSSS 2651  2 FULL
S013 KATL 2634  2 PERF
S014 KATL 2637  3 FULL
S015 KATL 2641  2 HEVY
S016 KATL 2645  3 FULL
S017 KATL 2650  2 LGHT
S018 OMDB 2636  2 HOTS
S019 OMDB 2640  2 FULL
S020 OMDB 2646  2 PERF
S021 OMDB 2649  2 LGHT
S022 EDDF 2635  2 FULL
S023 EDDF 2642  2 HOTS
S024 EDDF 2648  2 PERF
S025 YSSY 2638  1 LGHT
S026 YSSY 2644  2 FULL
S027 YSSY 2651  1 HOTS
S028 EGNX 2702  3 FULL
S029 EGNX 2706  2 HEVY
S030 WSSS 2704  2 FULL
S031 KATL 2708  2 PERF
S032 OMDB 2710  2 HOTS
S033 EDDF 2712  2 FULL
S034 EGNX 2716  3 FULL
S035 WSSS 2720  2 HOTS
S036 KATL 2724  2 FULL
